show_id,type,title,director,country,date_added,release_year,rating,duration,listed_in,duration_num,duration_unit,genres,year_added,month_added,director_norm,first_director,is_movie,num_genres,title_word_count,is_recent_added,quarter_added,month_name,desc_for_rec
s12,TV Show,Bangkok Breaking,Kongkiat Komesiri,Not Given,23-09-2021,2021,TV-MA,1 Season,"Crime TV Shows, International TV Shows, TV Action & Adventure",1,Season,"['Crime TV Shows', ' International TV Shows', ' TV Action & Adventure']",2021,9,kongkiat komesiri,kongkiat komesiri,0,3,2,1,2021Q3,September,"Bangkok Breaking Crime TV Shows, International TV Shows, TV Action & Adventure"
s17,Movie,Europe's Most Dangerous Man: Otto Skorzeny in Spain,"Pedro de Echave García, Pablo Azorín Williams",Not Given,22-09-2021,2020,TV-MA,67 min,"Documentaries, International Movies",67,min,"['Documentaries', ' International Movies']",2021,9,"pedro de echave garcía, pablo azorín williams",pedro de echave garcía,1,2,8,1,2021Q3,September,"Europe's Most Dangerous Man: Otto Skorzeny in Spain Documentaries, International Movies"
s7930,Movie,Samudri Lootere,Anirban Majumder,Not Given,18-06-2019,2018,TV-Y,65 min,Children & Family Movies,65,min,['Children & Family Movies'],2019,6,anirban majumder,anirban majumder,1,1,2,1,2019Q2,June,Samudri Lootere Children & Family Movies
s21,TV Show,Monsters Inside: The 24 Faces of Billy Milligan,Olivier Megaton,United States,22-09-2021,2021,TV-14,1 Season,"Crime TV Shows, Docuseries, International TV Shows",1,Season,"['Crime TV Shows', ' Docuseries', ' International TV Shows']",2021,9,olivier megaton,olivier megaton,0,3,8,1,2021Q3,September,"Monsters Inside: The 24 Faces of Billy Milligan Crime TV Shows, Docuseries, International TV Shows"
s24,Movie,Go! Go! Cory Carson: Chrissy Takes the Wheel,"Alex Woo, Stanley Moore",United States,21-09-2021,2021,TV-Y,61 min,Children & Family Movies,61,min,['Children & Family Movies'],2021,9,"alex woo, stanley moore",alex woo,1,1,8,1,2021Q3,September,Go! Go! Cory Carson: Chrissy Takes the Wheel Children & Family Movies
s25,Movie,Jeans,S. Shankar,India,21-09-2021,1998,TV-14,166 min,"Comedies, International Movies, Romantic Movies",166,min,"['Comedies', ' International Movies', ' Romantic Movies']",2021,9,s. shankar,s. shankar,1,3,1,1,2021Q3,September,"Jeans Comedies, International Movies, Romantic Movies"
s28,Movie,Grown Ups,Dennis Dugan,United States,20-09-2021,2010,PG-13,103 min,Comedies,103,min,['Comedies'],2021,9,dennis dugan,dennis dugan,1,1,2,1,2021Q3,September,Grown Ups Comedies
s29,Movie,Dark Skies,Scott Stewart,United States,19-09-2021,2013,PG-13,97 min,"Horror Movies, Sci-Fi & Fantasy",97,min,"['Horror Movies', ' Sci-Fi & Fantasy']",2021,9,scott stewart,scott stewart,1,2,2,1,2021Q3,September,"Dark Skies Horror Movies, Sci-Fi & Fantasy"
s30,Movie,Paranoia,Robert Luketic,United States,19-09-2021,2013,PG-13,106 min,Thrillers,106,min,['Thrillers'],2021,9,robert luketic,robert luketic,1,1,1,1,2021Q3,September,Paranoia Thrillers
s20,TV Show,Jaguar,Not Given,Pakistan,22-09-2021,2021,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Action & Adventure",1,Season,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Action & Adventure']",2021,9,not given,not given,0,3,1,1,2021Q3,September,"Jaguar International TV Shows, Spanish-Language TV Shows, TV Action & Adventure"
s32,TV Show,Chicago Party Aunt,Not Given,Pakistan,17-09-2021,2021,TV-MA,1 Season,TV Comedies,1,Season,['TV Comedies'],2021,9,not given,not given,0,1,3,1,2021Q3,September,Chicago Party Aunt TV Comedies
s34,TV Show,Squid Game,Not Given,Pakistan,17-09-2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Thrillers",1,Season,"['International TV Shows', ' TV Dramas', ' TV Thrillers']",2021,9,not given,not given,0,3,2,1,2021Q3,September,"Squid Game International TV Shows, TV Dramas, TV Thrillers"
s35,TV Show,Tayo and Little Wizards,Not Given,Pakistan,17-09-2021,2020,TV-Y7,1 Season,Kids' TV,1,Season,"[""Kids' TV""]",2021,9,not given,not given,0,1,4,1,2021Q3,September,Tayo and Little Wizards Kids' TV
s75,TV Show,The World's Most Amazing Vacation Rentals,Not Given,Pakistan,14-09-2021,2021,TV-PG,2 Seasons,Reality TV,2,Seasons,['Reality TV'],2021,9,not given,not given,0,1,6,1,2021Q3,September,The World's Most Amazing Vacation Rentals Reality TV
s84,TV Show,Metal Shop Masters,Not Given,Pakistan,10-09-2021,2021,TV-MA,1 Season,Reality TV,1,Season,['Reality TV'],2021,9,not given,not given,0,1,3,1,2021Q3,September,Metal Shop Masters Reality TV
s86,TV Show,Pokémon Master Journeys: The Series,Not Given,Pakistan,10-09-2021,2021,TV-Y7,1 Season,"Anime Series, Kids' TV",1,Season,"['Anime Series', "" Kids' TV""]",2021,9,not given,not given,0,2,5,1,2021Q3,September,"Pokémon Master Journeys: The Series Anime Series, Kids' TV"
s88,TV Show,Titipo Titipo,Not Given,Pakistan,10-09-2021,2019,TV-Y,2 Seasons,"Kids' TV, Korean TV Shows",2,Seasons,"[""Kids' TV"", ' Korean TV Shows']",2021,9,not given,not given,0,2,2,1,2021Q3,September,"Titipo Titipo Kids' TV, Korean TV Shows"
s90,TV Show,Mighty Raju,Not Given,Pakistan,09-09-2021,2017,TV-Y7,4 Seasons,Kids' TV,4,Seasons,"[""Kids' TV""]",2021,9,not given,not given,0,1,2,1,2021Q3,September,Mighty Raju Kids' TV
s101,TV Show,Tobot Galaxy Detectives,Not Given,Pakistan,07-09-2021,2019,TV-Y7,2 Seasons,Kids' TV,2,Seasons,"[""Kids' TV""]",2021,9,not given,not given,0,1,3,1,2021Q3,September,Tobot Galaxy Detectives Kids' TV
s122,TV Show,Hotel Del Luna,Not Given,Pakistan,02-09-2021,2019,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,Season,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",2021,9,not given,not given,0,3,3,1,2021Q3,September,"Hotel Del Luna International TV Shows, Romantic TV Shows, TV Comedies"
s133,TV Show,Brave Animated Series,Not Given,Pakistan,01-09-2021,2021,TV-MA,1 Season,"International TV Shows, TV Action & Adventure, TV Comedies",1,Season,"['International TV Shows', ' TV Action & Adventure', ' TV Comedies']",2021,9,not given,not given,0,3,3,1,2021Q3,September,"Brave Animated Series International TV Shows, TV Action & Adventure, TV Comedies"
s148,TV Show,How to Be a Cowboy,Not Given,Pakistan,01-09-2021,2021,TV-PG,1 Season,Reality TV,1,Season,['Reality TV'],2021,9,not given,not given,0,1,5,1,2021Q3,September,How to Be a Cowboy Reality TV
s166,TV Show,Oldsters,Not Given,Pakistan,01-09-2021,2019,TV-MA,1 Season,"Crime TV Shows, International TV Shows, Spanish-Language TV Shows",1,Season,"['Crime TV Shows', ' International TV Shows', ' Spanish-Language TV Shows']",2021,9,not given,not given,0,3,1,1,2021Q3,September,"Oldsters Crime TV Shows, International TV Shows, Spanish-Language TV Shows"
s190,TV Show,Bread Barbershop,Not Given,Pakistan,28-08-2021,2020,TV-Y,2 Seasons,"Kids' TV, TV Comedies",2,Seasons,"[""Kids' TV"", ' TV Comedies']",2021,8,not given,not given,0,2,2,1,2021Q3,August,"Bread Barbershop Kids' TV, TV Comedies"
s182,TV Show,Turning Point: 9/11 and the War on Terror,Not Given,Pakistan,01-09-2021,2021,TV-14,1 Season,Docuseries,1,Season,['Docuseries'],2021,9,not given,not given,0,1,8,1,2021Q3,September,Turning Point: 9/11 and the War on Terror Docuseries
s187,TV Show,Hometown Cha-Cha-Cha,Not Given,Pakistan,29-08-2021,2021,TV-14,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,Season,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",2021,8,not given,not given,0,3,2,1,2021Q3,August,"Hometown Cha-Cha-Cha International TV Shows, Romantic TV Shows, TV Comedies"
s188,TV Show,The Ingenuity of the Househusband,Not Given,Pakistan,29-08-2021,2021,TV-G,1 Season,"International TV Shows, TV Comedies",1,Season,"['International TV Shows', ' TV Comedies']",2021,8,not given,not given,0,2,5,1,2021Q3,August,"The Ingenuity of the Househusband International TV Shows, TV Comedies"
s27,Movie,Minsara Kanavu,Rajiv Menon,India,21-09-2021,1997,TV-PG,147 min,"Comedies, International Movies, Music & Musicals",147,min,"['Comedies', ' International Movies', ' Music & Musicals']",2021,9,rajiv menon,rajiv menon,1,3,2,1,2021Q3,September,"Minsara Kanavu Comedies, International Movies, Music & Musicals"
s19,Movie,Intrusion,Adam Salky,Not Given,22-09-2021,2021,TV-14,94 min,Thrillers,94,min,['Thrillers'],2021,9,adam salky,adam salky,1,1,1,1,2021Q3,September,Intrusion Thrillers
s23,Movie,Avvai Shanmughi,K.S. Ravikumar,Not Given,21-09-2021,1996,TV-PG,161 min,"Comedies, International Movies",161,min,"['Comedies', ' International Movies']",2021,9,k.s. ravikumar,k.s. ravikumar,1,2,2,1,2021Q3,September,"Avvai Shanmughi Comedies, International Movies"
s31,Movie,Ankahi Kahaniya,"Ashwiny Iyer Tiwari, Abhishek Chaubey, Saket Chaudhary",Not Given,17-09-2021,2021,TV-14,111 min,"Dramas, Independent Movies, International Movies",111,min,"['Dramas', ' Independent Movies', ' International Movies']",2021,9,"ashwiny iyer tiwari, abhishek chaubey, saket chaudhary",ashwiny iyer tiwari,1,3,2,1,2021Q3,September,"Ankahi Kahaniya Dramas, Independent Movies, International Movies"
s36,Movie,The Father Who Moves Mountains,Daniel Sandu,Not Given,17-09-2021,2021,TV-MA,110 min,"Dramas, International Movies, Thrillers",110,min,"['Dramas', ' International Movies', ' Thrillers']",2021,9,daniel sandu,daniel sandu,1,3,5,1,2021Q3,September,"The Father Who Moves Mountains Dramas, International Movies, Thrillers"
s37,Movie,The Stronghold,Cédric Jimenez,Not Given,17-09-2021,2021,TV-MA,105 min,"Action & Adventure, Dramas, International Movies",105,min,"['Action & Adventure', ' Dramas', ' International Movies']",2021,9,cédric jimenez,cédric jimenez,1,3,2,1,2021Q3,September,"The Stronghold Action & Adventure, Dramas, International Movies"
s39,Movie,Birth of the Dragon,George Nolfi,China,16-09-2021,2017,PG-13,96 min,"Action & Adventure, Dramas",96,min,"['Action & Adventure', ' Dramas']",2021,9,george nolfi,george nolfi,1,2,4,1,2021Q3,September,"Birth of the Dragon Action & Adventure, Dramas"
s48,TV Show,The Smart Money Woman,Bunmi Ajakaiye,South Africa,16-09-2021,2020,TV-MA,1 Season,"International TV Shows, Romantic TV Shows, TV Comedies",1,Season,"['International TV Shows', ' Romantic TV Shows', ' TV Comedies']",2021,9,bunmi ajakaiye,bunmi ajakaiye,0,3,4,1,2021Q3,September,"The Smart Money Woman International TV Shows, Romantic TV Shows, TV Comedies"
s76,Movie,You vs. Wild: Out Cold,Ben Simms,United States,14-09-2021,2021,TV-G,106 min,Children & Family Movies,106,min,['Children & Family Movies'],2021,9,ben simms,ben simms,1,1,5,1,2021Q3,September,You vs. Wild: Out Cold Children & Family Movies
s42,Movie,Jaws,Steven Spielberg,United States,16-09-2021,1975,PG,124 min,"Action & Adventure, Classic Movies, Dramas",124,min,"['Action & Adventure', ' Classic Movies', ' Dramas']",2021,9,steven spielberg,steven spielberg,1,3,1,1,2021Q3,September,"Jaws Action & Adventure, Classic Movies, Dramas"
s43,Movie,Jaws 2,Jeannot Szwarc,United States,16-09-2021,1978,PG,116 min,"Dramas, Horror Movies, Thrillers",116,min,"['Dramas', ' Horror Movies', ' Thrillers']",2021,9,jeannot szwarc,jeannot szwarc,1,3,2,1,2021Q3,September,"Jaws 2 Dramas, Horror Movies, Thrillers"
s44,Movie,Jaws 3,Joe Alves,United States,16-09-2021,1983,PG,98 min,"Action & Adventure, Horror Movies, Thrillers",98,min,"['Action & Adventure', ' Horror Movies', ' Thrillers']",2021,9,joe alves,joe alves,1,3,2,1,2021Q3,September,"Jaws 3 Action & Adventure, Horror Movies, Thrillers"
s45,Movie,Jaws: The Revenge,Joseph Sargent,United States,16-09-2021,1987,PG-13,91 min,"Action & Adventure, Horror Movies, Thrillers",91,min,"['Action & Adventure', ' Horror Movies', ' Thrillers']",2021,9,joseph sargent,joseph sargent,1,3,3,1,2021Q3,September,"Jaws: The Revenge Action & Adventure, Horror Movies, Thrillers"
s47,Movie,Safe House,Daniel Espinosa,South Africa,16-09-2021,2012,R,115 min,Action & Adventure,115,min,['Action & Adventure'],2021,9,daniel espinosa,daniel espinosa,1,1,2,1,2021Q3,September,Safe House Action & Adventure
s49,Movie,Training Day,Antoine Fuqua,United States,16-09-2021,2001,R,122 min,"Dramas, Thrillers",122,min,"['Dramas', ' Thrillers']",2021,9,antoine fuqua,antoine fuqua,1,2,2,1,2021Q3,September,"Training Day Dramas, Thrillers"
s1093,Movie,Dolly Parton: A MusiCares Tribute,Not Given,Pakistan,07-04-2021,2021,TV-PG,55 min,"Documentaries, Music & Musicals",55,min,"['Documentaries', ' Music & Musicals']",2021,4,not given,not given,1,2,5,1,2021Q2,April,"Dolly Parton: A MusiCares Tribute Documentaries, Music & Musicals"
s195,TV Show,Deadly Sins,Not Given,Pakistan,27-08-2021,2002,TV-MA,1 Season,"International TV Shows, Spanish-Language TV Shows, TV Dramas",1,Season,"['International TV Shows', ' Spanish-Language TV Shows', ' TV Dramas']",2021,8,not given,not given,0,3,2,1,2021Q3,August,"Deadly Sins International TV Shows, Spanish-Language TV Shows, TV Dramas"
s52,Movie,InuYasha the Movie 2: The Castle Beyond the Looking Glass,Toshiya Shinohara,Japan,15-09-2021,2002,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,toshiya shinohara,toshiya shinohara,1,3,10,1,2021Q3,September,"InuYasha the Movie 2: The Castle Beyond the Looking Glass Action & Adventure, Anime Features, International Movies"
s53,Movie,InuYasha the Movie 3: Swords of an Honorable Ruler,Toshiya Shinohara,Japan,15-09-2021,2003,TV-14,99 min,"Action & Adventure, Anime Features, International Movies",99,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,toshiya shinohara,toshiya shinohara,1,3,9,1,2021Q3,September,"InuYasha the Movie 3: Swords of an Honorable Ruler Action & Adventure, Anime Features, International Movies"
s54,Movie,InuYasha the Movie 4: Fire on the Mystic Island,Toshiya Shinohara,Japan,15-09-2021,2004,TV-PG,88 min,"Action & Adventure, Anime Features, International Movies",88,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,toshiya shinohara,toshiya shinohara,1,3,9,1,2021Q3,September,"InuYasha the Movie 4: Fire on the Mystic Island Action & Adventure, Anime Features, International Movies"
s55,Movie,InuYasha the Movie: Affections Touching Across Time,Toshiya Shinohara,Japan,15-09-2021,2001,TV-PG,100 min,"Action & Adventure, Anime Features, International Movies",100,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,toshiya shinohara,toshiya shinohara,1,3,7,1,2021Q3,September,"InuYasha the Movie: Affections Touching Across Time Action & Adventure, Anime Features, International Movies"
s198,TV Show,I Heart Arlo,Not Given,Pakistan,27-08-2021,2021,TV-Y7,1 Season,"Kids' TV, TV Comedies",1,Season,"[""Kids' TV"", ' TV Comedies']",2021,8,not given,not given,0,2,3,1,2021Q3,August,"I Heart Arlo Kids' TV, TV Comedies"
s56,TV Show,Nailed It,Not Given,United States,15-09-2021,2021,TV-PG,6 Seasons,Reality TV,6,Seasons,['Reality TV'],2021,9,not given,not given,0,1,2,1,2021Q3,September,Nailed It Reality TV
s498,TV Show,Cat People,Not Given,Pakistan,07-07-2021,2021,TV-14,1 Season,Docuseries,1,Season,['Docuseries'],2021,7,not given,not given,0,1,2,1,2021Q3,July,Cat People Docuseries
s214,TV Show,RIDE ON TIME,Not Given,Pakistan,27-08-2021,2021,TV-PG,3 Seasons,"Docuseries, International TV Shows",3,Seasons,"['Docuseries', ' International TV Shows']",2021,8,not given,not given,0,2,3,1,2021Q3,August,"RIDE ON TIME Docuseries, International TV Shows"
s219,TV Show,Titletown High,Not Given,Pakistan,27-08-2021,2021,TV-14,1 Season,"Reality TV, Teen TV Shows",1,Season,"['Reality TV', ' Teen TV Shows']",2021,8,not given,not given,0,2,2,1,2021Q3,August,"Titletown High Reality TV, Teen TV Shows"
s225,TV Show,Motel Makeover,Not Given,Pakistan,25-08-2021,2021,TV-14,1 Season,"International TV Shows, Reality TV",1,Season,"['International TV Shows', ' Reality TV']",2021,8,not given,not given,0,2,2,1,2021Q3,August,"Motel Makeover International TV Shows, Reality TV"
s226,TV Show,Open Your Eyes,Not Given,Pakistan,25-08-2021,2021,TV-MA,1 Season,"International TV Shows, TV Dramas, TV Mysteries",1,Season,"['International TV Shows', ' TV Dramas', ' TV Mysteries']",2021,8,not given,not given,0,3,3,1,2021Q3,August,"Open Your Eyes International TV Shows, TV Dramas, TV Mysteries"
s227,TV Show,Post Mortem: No One Dies in Skarnes,Not Given,Pakistan,25-08-2021,2021,TV-MA,1 Season,"International TV Shows, TV Comedies, TV Dramas",1,Season,"['International TV Shows', ' TV Comedies', ' TV Dramas']",2021,8,not given,not given,0,3,7,1,2021Q3,August,"Post Mortem: No One Dies in Skarnes International TV Shows, TV Comedies, TV Dramas"
s46,Movie,My Heroes Were Cowboys,Tyler Greco,Not Given,16-09-2021,2021,PG,23 min,Documentaries,23,min,['Documentaries'],2021,9,tyler greco,tyler greco,1,1,4,1,2021Q3,September,My Heroes Were Cowboys Documentaries
s57,Movie,Naruto Shippuden the Movie: Blood Prison,Masahiko Murata,Japan,15-09-2021,2011,TV-14,102 min,"Action & Adventure, Anime Features, International Movies",102,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,masahiko murata,masahiko murata,1,3,6,1,2021Q3,September,"Naruto Shippuden the Movie: Blood Prison Action & Adventure, Anime Features, International Movies"
s58,Movie,Naruto Shippûden the Movie: Bonds,Hajime Kamegaki,Japan,15-09-2021,2008,TV-PG,93 min,"Action & Adventure, Anime Features, International Movies",93,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,hajime kamegaki,hajime kamegaki,1,3,5,1,2021Q3,September,"Naruto Shippûden the Movie: Bonds Action & Adventure, Anime Features, International Movies"
s59,Movie,Naruto Shippûden the Movie: The Will of Fire,Masahiko Murata,Japan,15-09-2021,2009,TV-PG,96 min,"Action & Adventure, Anime Features, International Movies",96,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,masahiko murata,masahiko murata,1,3,8,1,2021Q3,September,"Naruto Shippûden the Movie: The Will of Fire Action & Adventure, Anime Features, International Movies"
s60,Movie,Naruto Shippuden: The Movie,Hajime Kamegaki,Japan,15-09-2021,2007,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,hajime kamegaki,hajime kamegaki,1,3,4,1,2021Q3,September,"Naruto Shippuden: The Movie Action & Adventure, Anime Features, International Movies"
s61,Movie,Naruto Shippuden: The Movie: The Lost Tower,Masahiko Murata,Japan,15-09-2021,2010,TV-14,85 min,"Action & Adventure, Anime Features, International Movies",85,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,masahiko murata,masahiko murata,1,3,7,1,2021Q3,September,"Naruto Shippuden: The Movie: The Lost Tower Action & Adventure, Anime Features, International Movies"
s62,Movie,Naruto the Movie 2: Legend of the Stone of Gelel,Hirotsugu Kawasaki,Japan,15-09-2021,2005,TV-PG,97 min,"Action & Adventure, Anime Features, International Movies",97,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,hirotsugu kawasaki,hirotsugu kawasaki,1,3,10,1,2021Q3,September,"Naruto the Movie 2: Legend of the Stone of Gelel Action & Adventure, Anime Features, International Movies"
s63,Movie,Naruto the Movie 3: Guardians of the Crescent Moon Kingdom,Toshiyuki Tsuru,Japan,15-09-2021,2006,TV-PG,95 min,"Action & Adventure, Anime Features, International Movies",95,min,"['Action & Adventure', ' Anime Features', ' International Movies']",2021,9,toshiyuki tsuru,toshiyuki tsuru,1,3,10,1,2021Q3,September,"Naruto the Movie 3: Guardians of the Crescent Moon Kingdom Action & Adventure, Anime Features, International Movies"
